ID,di_script,di_URL,Group (datasets of the same group are similar*),Project,Title (with Hyperlink),Description (in brief),Metadata URLs,Methodology (URL to methodology descriptions),Methodology (brief description),Accuracy,Completeness,Level,Spatial Granularity,Identifier,Identifier Type,Creator,Object,Publisher,Publication Date,Publication Year,Temporal Granularity,Time references (time data refers),URLs,Content (keywords),Origin,Geographical extension,Projection system,Access conditions,License,Terms of use,Availability,Resource type,Data format,"Size of file (raw, compressed in parentheses)",Other relevant information
22,,,C,N,Eurostat: Energy efficiency indicator,This dataset covers indicators for monitoring progress towards energy efficiency targets of Europe 2020 strategy implemented by Directive 2012/27/EU on energy efficiency.,https://ec.europa.eu/eurostat/cache/metadata/en/nrg_ind_eff_esms.htm,https://ec.europa.eu/eurostat/documents/3859598/5885369/NRG-2004-EN.PDF/b3c4b86f-8e88-4ca6-9188-b95320900b3f,"The energy efficiency indicators are derived from energy balances, which are  obtained when you convert the natural units in the commodity balances to the chosen energy unit by multiplying by the appropriate conversion equivalent for each of the natural units. For further information, see the methodology documentation.",/,/,EU27 + UK,NUTS0,nrg_ind_eff,European Statistical System,Statistical Office of the European Union (Eurostat),Energy efficiency indicator,Statistical Office of the European Union (Eurostat),03/02/2020,2020,Annual,1990-2018,https://data.europa.eu/euodp/data/dataset/YIX54AYLew2DOmPqK8dRfQ,Energy efficiency,Eurostat,EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Tab-separated values (TSV) file,116 KB (16.8 KB),/
23,getWater.py,https://zenodo.org/api/records/3243384,C,N,Projected fresh water use from the European energy sector,The dataset contains projections of fresh water withdrawal and consumption from the European energy sector on NUTS2 level by 2050 following EU Energy Reference Scenario 2016. ,https://zenodo.org/record/3243384#.XxT5854zY2y,https://ec.europa.eu/jrc/en/publication/projected-fresh-water-use-european-energy-sector,"The projected water used by the energy system is based on the combination of the EU Energy Reference Scenario with water withdrawal and consumption factors for the different processes considered throughout the report. These water factors were gathered from a broad literature review. For further information, see the methodology documentation.","Compared to Eurostat estimates, Joint Research Centre estimates are within the reported range for most countries (discrepancies for Germany, Italy, Netherlands, Poland, and Greece)",Dataset has no blank/missing values,EU27 + UK,NUTS2,10.5281/zenodo.3243384,Digital Object Identifier (DOI),"Medarac, H., Magagna, D. and Hidalgo González, I. (Joint Research Centre)",Projected fresh water use from the European energy sector on NUTS2 level by 2050 following EU Energy Reference Scenario 2016,Joint Research Centre,11/06/2019,2019,5-year intervals,2015-2050,https://zenodo.org/record/3243384#.XVZwpegzaUl,Water withdrawal - water consumption - water use - energy production,"""Projected fresh water use from the European energy sector"" by the Joint Research Centre",EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,1.09 MB,/
24,,,A,N,Photovoltaic power potential,Photovoltaic power potential for Europe.,https://energydata.info/dataset/world-solar-irradiation-and-pv-power-potential-map,https://globalsolaratlas.info/support/methodology,"The location-specific information provided by the Atlas involves three main different models: Solar radiation model; Air temperature model; PV power simulation model. Solar radiation and air temperature modeling result in a series of pre-calculated data layers that can be retrieved at (almost) any location on the map. Additional information about a possible PV system type and configuration are used for the PV power simulation, which is calculated on-demand using Solargis internal algorithms and databases. For further information, see the methodology documentation.","""In most situations the expected uncertainty for annual values will be within ±4% for Global Horizontal Irradiance (GHI) values and ±9% for Direct Normal Irradiance (DNI) values for most of Europe and North America (approx. below 50°N) and Japan.""","""Missing records are very rare in the modern satellite and model data inputs. Intelligent gapfilling algorithms are used for gap filling. Historical satellite missions show higher percentage of missing or incorrect data records.""",Worldwide,250 m resolution,https://globalsolaratlas.info/download/europe-and-central-asia,Uniform Resource Locator (URL),"Betak, Juraj; Caltik, Marek; Cebecauer, Tomas; Chrkavy, Daniel; Erdelyi, Branislav; Rosina, Konstantin; Suri, Marcel; Suriova, Nada",Global Solar Atlas,The World Bank Group and Solargis,23/10/2019,2019,Annual,1999-2018,https://globalsolaratlas.info/download/europe-and-central-asia,Photovoltaic power density,Global Solar Atlas,Worldwide,EPSG:4326,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,"GEOTIFF, AAIGRID, or KML/KMZ file",3.47 GB (3.44 GB),https://globalsolaratlas.info/support/terms-of-use
25,,,A,N,Wind power density,Wind power density by height for Europe.,/,https://map.neweuropeanwindatlas.eu/about,/,"Averaged Normalised Mean Biased Error[%] of Weather, Research and Forecasting (WRF) model experiments on long-term mean wind speed at four sites: 2%-15%",Complete satellite data coverage for Europe,EU27 + UK plus Turkey,20-30 m resolution,https://map.neweuropeanwindatlas.eu/,Uniform Resource Locator (URL),European Commission and 9 national funding agencies,New European Wind Atlas,New European Wind Atlas,2019,2019,Annual,2009-2018,https://map.neweuropeanwindatlas.eu/,Wind power density,New European Wind Atlas project from European Commission and 9 national funding agencies,"EU27 + UK, Turkey, and 100 km offshore as well as the complete North and Baltic Seas",n/a,Open - download,/,/,Available on the web,Dataset,NetCDF file,340 MB,/
26,,,A,Y (Solar District Heating),SDH: Large Scale Solar Heating Plants,This dataset contains a list of large scale solar heating plants located in Europe and with a nominal capacity higher than 700 kWh.,/,/,/,/,Dataset has no blank/missing values,"Austria, Bosnia and Herzegovina, Denmark, Finland, France, Germany, Italy, Greece, Montenegro, Netherlands, Norway, Poland, Portugal, Spain, Sweden, Switzerland, Turkey",/,https://www.solar-district-heating.eu/en/plant-database/,Uniform Resource Locator (URL),"The European Large-scale Solar Heating Network, Working Group 2E of the European Solar Thermal Technology Platform and the IEE Solar District Heating in Europe project",Ranking List of European Large Scale Solar Heating Plants,The European Large-scale Solar Heating Network,2017,2017,Non-longitudinal,1985-2017,https://www.solar-district-heating.eu/en/plant-database/,Solar heating - power plants,"European Large-scale Solar Heating Network, Working Group 2E of the European Solar Thermal Technology Platform and the IEE Solar District Heating","Austria, Bosnia and Herzegovina, Denmark, Finland, France, Germany, Italy, Greece, Montenegro, Netherlands, Norway, Poland, Portugal, Spain, Sweden, Switzerland, Turkey",n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,106 KB,/
27,,,A,Y (S2Biom),S2BIOM: Biomass supply,Estimated supply of biomass resources in Europe.,/,http://s2biom.alterra.wur.nl/web/guest/biomass-cost#_48_INSTANCE_bNEOGMUfuY37_%253Dhttp%25253A%25252F%25252Fs2biom.alterra.wur.nl%25252Fbiomasscostsupplyviewer%25252Findex.html%25253Fmode%25253Dcost%252526%3D%26_48_INSTANCE_bNEOGMUfuY37_%3Dhttp%253A%252F%252Fs2biom.alterra.wur.nl%252Fbiomasscostsupplyviewer%252Fhttp%253A%252F%252Fs2biom.alterra.wur.nl%252Fbiomasscostsupplyviewer%252Findex.html%253Fmode%253Dcost%2526,/,/,/,EU27 + UK,NUTS3,https://s2biom.wenr.wur.nl/web/guest/data-downloads,Uniform Resource Locator (URL),S2Biom project consortium,Production from forests,S2BIOM,2017,2017,Non-longitudinal,2012,https://s2biom.wenr.wur.nl/web/guest/data-downloads,Biomass chain data  -Biomass cost-supply,S2BIOM project,EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,15.1 MB,HTTP Status 404 - /biomasscostsupplyviewer/http://s2biom.alterra.wur.nl/biomasscostsupplyviewer/index.html
28,,,B,Y (HotMaps),HotMaps: Building stock analysis,"This dataset contains building stock analysis data for EU28. Data is available per country and are organized by residential and service sectors, addressing specific types of buildings and time periods.",https://gitlab.com/hotmaps/building-stock/-/blob/master/datapackage.json,https://gitlab.com/hotmaps/building-stock/-/blob/master/README.md,"The data collected in the building stock analysis are used as starting point to calculate the useful energy demand (UED) for space heating (SH), space cooling (SC), and domestic hot water (DHW) for each EU28 MS down to its local level, and to derive scenarios for the future development of the UED. ",/,"Incomplete source data was reconstructed by ""extrapolating and assembling data from large data tools"" and ""researching data sourceby-source from single scientific literature fonts as journal papers, conference proceedings and project deliverables""",EU27 + UK,NUTS0,https://gitlab.com/hotmaps/building-stock/-/blob/master/data/building_stock.xlsx,Uniform Resource Locator (URL),"Simon Pezzutto, Silvia Croce, Stefano Zambotti, EURAC",Building stock analysis,HotMaps,09/01/2019,2019,Non-longitudinal,The majority of data refer to the year 2016,https://gitlab.com/hotmaps/building-stock,Building characteristics - Building surface volume ratio,Horizon 2020 HotMapsproject,EU27 + UK,n/a,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,2.12 MB,https://spdx.org/licenses/CC-BY-4.0.html
29,,,C,Y (SET-Nav),H2020 SET-Nav: Detailed scenario results for energy demand by the INVERT/EE-Lab model ,Strategic Energy Roadmap datasets containing scenario data for energy demand.,/,https://www.invert.at/methodology.php,"The core of the tool is a nested logit approach, which optimizes objectives of “agents” under imperfect information conditions and by that represents the decisions maker concerning building related decisions. For further information, see the methodology documentation.",/,Missing values in 9.7% of cells,EU27 + UK,NUTS0,https://data.ene.iiasa.ac.at/set-nav/#/downloads,Uniform Resource Locator (URL),SET-Nav consortium,SET-Nav Scenario Explorer,SET-Nav,13/05/2019,2019,"For year 2012, and then 2015 to 2050 in 5-year intervals",2012-2050,https://data.ene.iiasa.ac.at/set-nav/#/downloads,Modelling Portofolio - Modelling Forum - Evaluation of energy policies - Stakeholder dialogue and dissemination,Horizon 2020 SET-Nav project,EU27 + UK,n/a,Open - download (Login guest),Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,9.53 MB,https://creativecommons.org/licenses/by/4.0/
30,,,B,N,Fuel consumption and technologies used in the heating/cooling sector,"These are the final results of a study of fuel consumption and technologies used in the heating/cooling sector in EU28+3 (Tender ENER/C2/2014-641). Analysis of scenarios up to 2020 and 2030 and a related economic analysis were also carried out together with the identification of obstacles, best practices and policy recommendations.",/,/,/,/,/,"EU27 + UK plus Norway, Switzerland, and Iceland",NUTS0,https://ec.europa.eu/energy/studies/mapping-and-analyses-current-and-future-2020-2030-heatingcooling-fuel-deployment_en,Uniform Resource Locator (URL),Authors of ENER/C2/2014-641 tender ,Mapping and analyses of the current and future (2020 - 2030) heating/cooling fuel deployment (fossil/renewables),European Commission Directorate-General for Energy (DG Energy),22/01/2020,2020,Non-longitudinal,2012,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/population-distribution-demography/geostat,Heating - cooling - consumption,Renewable cooling tender (ENER/C2/2014-641),"EU27 + UK plus Norway, Switzerland, and Iceland",n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,83.0 MB (74.2 MB),/
31,getHotMaps_raster.py,https://gitlab.com/hotmaps/potential/potential_geothermal_raster/-/raw/master/,A,Y (INTERREG GRETA),INTERREG GRETA,Financial and economic data of Near SurFace Geothermal Energy in Central Europe.,https://gitlab.com/hotmaps/potential/potential_geothermal_raster/-/blob/master/datapackage.json,https://gitlab.com/hotmaps/potential/potential_geothermal_raster/-/blob/master/README.md,/,/,/,EU27 + UK,NUTS3,https://gitlab.com/hotmaps/potential/potential_geothermal_raster,Uniform Resource Locator (URL),GRETA consortium,potential_geothermal_raster,GRETA,20/05/2019,2019,Non-longitudinal,2013,https://gitlab.com/hotmaps/potential/potential_geothermal_raster,Geothermal energy,INTERREG GRETA project,EU27 + UK,n/a,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,GEOTIFF file,90.8 MB (46.1 MB),/
32,,,A,Y (INTERREG recharge green),INTERREG recharge green,Renewable energy source potential in central Europe.,/,/,/,Dataset not available for download,Dataset has no blank/missing values,"Austria, Switzerland, Germany, France, Italy, Liechtenstein, Slovenia",NUTS3,/,/,recharge green consortium,/,recharge green,/,/,/,/,/,Renewable energy sources,INTERREG recharge green project,"Austria, Switzerland, Germany, France, Italy, Liechtenstein, Slovenia",n/a,Closed - not available,/,/,Not available for download,Dataset,Microsoft Excel (XLSX) file,128 KB,/
33,,,D,N,Building Height,A 10m high resolution raster layer containing height information is generated for core urban areas of capitals of the 39 European Environmental Agency nations (EEA39) as part of the Urban atlas. ,https://land.copernicus.eu/local/urban-atlas/building-height-2012?tab=metadata,/,/,/,/,"Albania, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kosovo, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, United Kingdom",10 m resolution,https://land.copernicus.eu/local/urban-atlas/building-height-2012?tab=download,Uniform Resource Locator (URL),European Environment Agency,Building Height 2012,Copernicus Climate Change Service,19/03/2020,2020,Non-longitudinal,2011-2014,https://land.copernicus.eu/local/urban-atlas/building-height-2012?tab=download,Elevation - digital height model - building height,Copernicus programme,"Bounding box: West = -22.131016, East = 33.481341, North = 64.380351, South = 35.068531",EPSG:3035,Open - download,/,/,Available on the web,Dataset,GEOTIFF file,68.6 MB,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32013R1159
34,,,A,N,IEA SHC Task 45: Large Solar Heating and Cooling Systems,A database with detailed descriptions of large solar heating and cooling systems from all over the world.,/,https://www.iea-shc.org/Data/Sites/1/publications/IEA-SHC-T45.C.1-TECH-Categorization-of-large-systems1.pdf,/,/,/,Worldwide,NUTS0,https://task45.iea-shc.org/system-database,Uniform Resource Locator (URL),"Sabine Putz, S.O.L.I.D.",Databases for Large Solar Heating and Cooling Systems,IEA Solar Heating and Cooling Programme,2014,2014,Annual,1985-2014,https://task45.iea-shc.org/system-database,Solar heating - solar cooling,IEA Solar Heating and Cooling Programme ,Worldwide,n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,3.15 MB,/
35,,,D,N,European Settlement Map,The European Settlement Map is a spatial raster dataset that is mapping human settlements in Europe based on Copernicus Very High Resolution optical coverage.,https://land.copernicus.eu/pan-european/GHSL/european-settlement-map/esm-2012-release-2017-urban-green?tab=metadata,https://ec.europa.eu/jrc/en/publication/european-settlement-map-2017-release-methodology-and-output-european-settlement-map-esm2p5m,/,/,/,"Albania, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kosovo, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, United Kingdom",2.5 m resolution,https://land.copernicus.eu/pan-european/GHSL/european-settlement-map/esm-2012-release-2017-urban-green?tab=download,Uniform Resource Locator (URL),Joint Research Centre,ESM 2012 - Release 2017,Copernicus Climate Change Service,09/11/2017,2017,Non-longitudinal,2010-2013,https://land.copernicus.eu/pan-european/GHSL/european-settlement-map/esm-2012-release-2017-urban-green?tab=download,European Settlement Map - land,"Insitute for Protection and Security of the Citizen, Joint Research Centre","Bounding box: West = 844000, East = 842000, North = 7344000, South = 5442000",EPSG:3035,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,GEOTIFF file,108 GB,/
36,,,B,Y (TABULA),TABULA: Building typology data,Building typology data,/,https://episcope.eu/building-typology/overview/,/,"Accuracy is split into 3 levels (A, B, and C), based on whether the data is determined by the whole building stock, a large number of example buildings, or is estimated based on a few example buildings.",Not all building types represented for each region.,"Austria, Belgium, Cyprus, Czechia, France, Germany, Great Britain, Hungary, Ireland, Italy, Netherlands, Norway, Slovenia, Spain",/,http://webtool.building-typology.eu/#bm,Uniform Resource Locator (URL),TABULA project consortium,TABULA WebTool,EPISCOPE,06/11/2017,2017,Non-longitudinal,1899-2016,http://webtool.building-typology.eu/#bm,Building typology,Intelligent Energy Europe,"Austria, Belgium, Cyprus, Czechia, France, Germany, Great Britain, Hungary, Ireland, Italy, Netherlands, Norway, Slovenia, Spain",n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,32.7 MB,/
37,,,B,Y (EPISCOPE),EPISCOPE: Case study scenario analyses,"The EPISCOPE project focused on the energy refurbishment of houses in 20 European countries. Among the collected information, data regarding the construction period (different classes are defined in each country) and the building type (single-family, terraced house, multi-family house and apartment block) may be useful for risk assessment of large geographic areas.",/,https://episcope.eu/monitoring/average-buildings/,/,"According to the EPISCOPE Synthesis Report SR4, quality data was not available for all countries. The accuracy of the data used may be varied based on how the data was obtained.","Datasets have no blank/missing values. EPISCOPE Synthesis Report SR4 describes the lack of empirical primary data, including the ""wide information gaps concerning the actual state as well as the trends of building thermal insulation and efficient / renewable heating systems""","Austria, Belgium, Cyprus, Czechia, France, Germany, Great Britain, Hungary, Ireland, Italy, Netherlands, Norway, Slovenia, Spain",/,https://episcope.eu/communication/download/,Uniform Resource Locator (URL),EPISCOPE project consortium,TABULA WebTool,EPISCOPE,31/03/2016,2016,Non-longitudinal,2012/2020/2030/2050,https://episcope.eu/communication/download/,Building stock - energy efficiency,Intelligent Energy Europe,"Austria, Belgium, Cyprus, Czechia, France, Germany, Great Britain, Hungary, Ireland, Italy, Netherlands, Norway, Slovenia, Spain",n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,9.52 MB,/
38,,,B,Y (ODYSSEE-MURE),ODYSSEE: Gross inland consumption (non-energy uses included),"Building stock data including floor area of dwellings, consumption by source, and stock of appliances and dwelling.",/,https://www.odyssee-mure.eu/faq/energy-efficiency-methodology/,"ODYSSEE data are collected by national partners and checked and harmonized by Enerdata. For further information, see the methodology documentation.
",/,Data complete until 2017 (dataset checked: gross inland consumption -- non-energy uses included),EU27 + UK,NUTS0,https://odyssee.enerdata.net/database/,Uniform Resource Locator (URL),Enerdata,Odyssee database - January 2020,Odyssee,2020,2020,Annual,2010-2018,https://www.odyssee-mure.eu/private/,Building stock - energy efficiency,Enerdata,"EU27 + UK, Norway, Serbia, Switzerland",n/a,Limited access,/,/,Reserved to EU universities and research centres for non-commercial uses,Dataset,Microsoft Excel (XLSX) file,11.7 KB,/
39,,,B,Y (ENTRANZE),ENTRANZE: Average size of dwelling in residential sector,"Building stock data including floor area of residential and non-residential buildings, heating/AC system data, and energy use by sector.",/,/,"Entranze includes data collected from numerous sources--including Odyssee, Building Performance Institute Europe, Tabula, and Eurostat--and and presents them in an online data mapping tool. ",/,Data missing for Croatia and Cyprus (dataset checked: average size of dwelling by type),"EU27 + UK, Serbia",NUTS0,https://entranze.enerdata.net/share-of-dwellings-connected-to-district-heating.html,Uniform Resource Locator (URL),ENTRANZE project consortium,ENTRANZE project database,ENTRANZE,2013,2013,Non-longitudinal,2008,https://entranze.enerdata.net/#/share-of-dwellings-connected-to-district-heating.html,Building stock - energy efficiency,Enerdata,"EU27 + UK, Serbia",n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,15.0 KB,/
40,,,B,Y (CommONEnergy),CommONEnergy: Total floor area of the non-residential building sector,Building stock data including building sector data and final energy demand data for non-residential buildings.,/,/,"The data is built on existing studies and surveys from statistical offices, currently on-going projects on national and European level as well as on the calculations carried out as part of the abovementioned analysis of the commercial building stock at EU level. The scenario development was carried out using the abovementioned data and calculated using a bottom-up approach. ",/,Dataset has no blank/missing values,"EU27 + UK, Norway",NUTS0,https://eeg.tuwien.ac.at/commonenergy/floor-area-non-residential,Uniform Resource Locator (URL),Vienna University of Technology Energy Economics Group (EEG),CommONEnergy Data Mapper,CommONEnergy,2017,2017,Non-longitudinal,2012/2030,https://eeg.tuwien.ac.at/commonenergy/floor-area-non-residential,Building stock - energy efficiency,Vienna University of Technology Energy Economics Group (EEG),"EU27 + UK, Norway",n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,10.3 KB,/
41, ,,B,Y (Zebra2020),Zebra2020: Share of new dwellings in residential stock,Building stock data including data for energy efficiency trends in buildings as well as data for net zero energy buildings.,/,/,"Data in the Zebra2020 Data Tool are gathered from a variety of national sources, including Statistik Austria for Austrian data, Istat for Italian data, and the Direction générale Statistique et Information écon for French data",Each country has differing source which could affect comparability between countries.,Missing data present (difficult to estimate given structure of data),"Austria, Belgium, Denmark, Spain, France, United Kingdom, Italy, Lithuania, Luxembourg, Netherlands, Norway, Poland, Portugal, Czechia, Germany, Romania, Slovakia, Sweden",NUTS0,https://zebra-monitoring.enerdata.net/overall-building-activities/share-of-new-dwellings-in-residential-stock.html,Uniform Resource Locator (URL),Zebra2020 project consortium,Energy efficiency trends in building ,Enerdata,2015,2015,Annual,2010-2014,https://zebra-monitoring.enerdata.net/overall-building-activities/share-of-new-dwellings-in-residential-stock.html,Building stock - energy efficiency,Enerdata,"Austria, Belgium, Denmark, Spain, France, United Kingdom, Italy, Lithuania, Luxembourg, Netherlands, Norway, Poland, Portugal, Czechia, Germany, Romania, Slovakia, Sweden",n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,11.0 KB,/
42,,,B,N,National Housing Census: type of living quarter by country,The National Housing Census contains socioeconomic data as well as building stock data including type and size of housing,https://ec.europa.eu/eurostat/cache/metadata/en/cens_11r_esmscs.htm,/,Data in the National Housing Census are taken from national sources which use a variety of techniques to gather data (i.e. surveys).,/,Missing values in <0.5% of cells (for type of living quarter by country),EU27 + UK,NUTS0,cens_11r,European Statistical System,Statistical Office of the European Union (Eurostat),National Housing Census,Statistical Office of the European Union (Eurostat),2014,2014,Non-longitudinal,2011,https://ec.europa.eu/CensusHub2/query.do?step=selectHyperCube&countrycode=en&clearSession=true,Housing data - socioeconomic data,Eurostat,EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,6.18 KB,/
43,getHotMaps_raster.py,https://gitlab.com/hotmaps/heat/heat_tot_curr_density/-/raw/master/,B,Y (HotMaps),HotMaps: Heat demand density,This dataset shows the final energy demand for heating and hot water of buildings in EU28 on hectare (ha) level.,https://gitlab.com/hotmaps/heat/heat_tot_curr_density/-/blob/master/datapackage.json,https://gitlab.com/hotmaps/heat/heat_tot_curr_density/-/blob/master/README.md,/,/,/,"EU27 + UK, Switzerland, Norway, Iceland",100m x 100m,https://gitlab.com/hotmaps/heat/heat_tot_curr_density/-/tree/master/data,Uniform Resource Locator (URL),"Andreas Mueller, Mostafa Fallahnejad, TU Wien Institute of Energy Systems and Electrical Drives","Heat density map (final energy demand for heating and DHW) of buildings in EU28 + Switzerland, Norway and Iceland for the year 2015",HotMaps,10/08/2020,2020,Non-longitudinal,2015,https://gitlab.com/hotmaps/heat/heat_tot_curr_density,Building stock - heat density,Horizon 2020 HotMapsproject,"EU27 + UK, Switzerland, Norway, Iceland",n/a,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,GEOTIFF file,128 MB,/
44,,,C,Y (ECHOES),ECHOES: International survey on energy-related choices and behaviour,ECHOES stands for “Energy CHOices supporting the Energy Union and the SET-Plan”. It is an EU funded research project that provides deeper understanding on individual and collective energy-related choices and behaviour. The international survey of the ECHOES project is a large survey dataset than contains responses from 31 countries: EU-28 (2018) + 3 countries.,https://zenodo.org/record/3524917#.X7RkzMhKg2w,/,/,/,/,n/a,n/a,10.5281/zenodo.3524917,Digital Object Identifier (DOI),"Reichl, Johannes; Cohen, Jed; Kollmann, Andrea; Azarova, Valeria; Klöckner, Christian; Royrvik, Jens; Vesely, Stepan; Carrus, Giuseppe; Panno, Angelo; Tiberio, Lorenza; Fritsche, Immo; Masson, Torsten; Chokrai, Parissa; Lettmayer, Gudrun; Schwarzinger, Stephan; Bird, Neil, ECHOES project",International survey of the ECHOES project,ECHOES,01/11/2019,2019,Non-longitudinal,2018,https://zenodo.org/record/3524917#.X7RkzMhKg2w,Behaviour - energy-related choices,ECHOES project,n/a,n/a,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,56.0 MB (16.7 MB),/
45,getHotMaps_raster.py,https://gitlab.com/hotmaps/gfa_tot_curr_density/-/raw/master/,B,Y (HotMaps),HotMaps: Heated gross floor area density,This dataset shows the residential and non-residential gross floor area in EU28 on hectare (ha) level.,https://gitlab.com/hotmaps/gfa_tot_curr_density/-/blob/master/datapackage.json,https://gitlab.com/hotmaps/gfa_tot_curr_density/-/blob/master/README.md,/,/,/,"EU27 + UK, Switzerland, Norway, Iceland",100m x 100m,https://gitlab.com/hotmaps/gfa_tot_curr_density/-/tree/master/data,Uniform Resource Locator (URL),"Andreas Mueller, TU Wien Institute of Energy Systems and Electrical Drives","Heated gross floor area density map of buildings in EU28 + Switzerland, Norway and Iceland for the year 2015",HotMaps,10/08/2020,2020,Non-longitudinal,2015,https://gitlab.com/hotmaps/gfa_tot_curr_density,Building stock - gross floor area density,Horizon 2020 HotMapsproject,"EU27 + UK, Switzerland, Norway, Iceland",n/a,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,GEOTIFF file,197 MB,/
46,,,D,N,OECD: Greenhouse gas emissions,This dataset presents trends in man-made emissions of major greenhouse gases and emissions by gas.,/,/,"The data is derived from the National Inventory Submissions 2020  to the United Nations Framework Convention on Climate Change (UNFCCC, CRF tables), and replies to the OECD State of the Environment Questionnaire.",/,/,EU27 + UK,NUTS0,https://stats.oecd.org/Index.aspx?DataSetCode=AIR_GHG#,Uniform Resource Locator (URL),Organisation for Economic Co-operation and Development (OECD),National Inventory Submissions 2019  to the United Nations Framework Convention on Climate Change,Organisation for Economic Co-operation and Development (OECD),2019,2019,Annual,1990-2017,https://stats.oecd.org/Index.aspx?DataSetCode=AIR_GHG#,CO_ emissions,United Nations Framework Convention on Climate Change,EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Comma-separated values (CSV) file,7.66 KB,/
47,,,F,N,Electricity prices for household consumers,Electricity prices for household consumers - bi-annual data (from 2007 onwards),https://ec.europa.eu/eurostat/cache/metadata/en/nrg_pc_204_esms.htm,https://ec.europa.eu/eurostat/documents/3859598/8048500/KS-GQ-16-106-N.pdf/8d9a943f-b0da-4ac9-bc62-251458d0f498,"Electricity prices are collected by a half-yearly questionnaire on electricity prices for households. For further information, see the methodology documentation.",(For 2007 and onward data) the published prices are based on real invoiced prices that are paid by end-users ,For cost of electrical energy per kWh in Euros: missing data in 4.3% of cells,"EU27 + UK plus Iceland, Liechtenstein, Norway, Montenegro, North Macedonia, Albania, Serbia, Turkey, Bosnia and Herzegovina, Kosovo, Moldova, Ukraine, Georgia",NUTS0,nrg_pc_204,European Statistical System,Statistical Office of the European Union (Eurostat),Electricity prices for household consumers - bi-annual data (from 2007 onwards) ,Statistical Office of the European Union (Eurostat),28/04/2020,2020,Bi-annual,bi-annual data (from 2007 onwards),https://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=nrg_pc_204&lang=en,Electricity prices,Eurostat,"EU27 + UK plus Iceland, Liechtenstein, Norway, Montenegro, North Macedonia, Albania, Serbia, Turkey, Bosnia and Herzegovina, Kosovo, Moldova, Ukraine, Georgia",n/a,Open - download,/,/,Available on the web,Dataset,Comma-separated values (CSV) file,103 KB,/
